 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
1725,692.66,695.47,690.87,680.75,666.95,683.75,686.66,687.90,710.00,723.79,730.41,738.36,697.58,689.95,678.11,687.92,687.26,666.78,692.45,682.07,683.51,683.74,692.66
1726,693.35,695.38,690.55,679.68,666.30,682.97,687.05,686.48,711.85,726.81,731.00,738.34,697.67,690.20,679.22,687.57,688.56,667.22,690.78,680.70,682.89,683.27,693.35
1727,693.33,696.50,690.28,679.18,665.44,680.45,687.57,686.31,713.29,729.02,730.50,738.10,696.84,688.40,679.71,686.88,688.87,668.75,690.47,680.26,682.50,682.75,693.33
1728,692.94,696.85,691.19,679.09,664.97,678.30,689.10,686.85,713.43,727.54,728.13,736.84,695.67,686.87,678.77,686.22,689.07,670.47,692.06,680.73,683.27,683.05,692.94
1729,692.14,696.04,693.61,678.46,663.90,677.70,690.44,687.52,713.01,725.67,726.52,736.27,694.99,686.78,677.98,685.16,688.97,672.11,693.04,681.59,684.23,683.77,692.14
1730,692.08,695.35,694.91,677.66,663.36,677.61,690.95,687.31,712.99,725.04,726.16,737.18,695.77,687.42,678.50,685.49,688.25,672.81,691.18,682.21,684.55,684.35,692.08
1731,693.92,695.28,694.20,677.81,664.09,678.77,691.29,686.12,713.34,724.86,726.55,737.43,696.06,687.22,678.63,686.63,688.26,672.93,689.93,681.65,684.52,684.54,693.92
1732,695.56,696.25,691.92,679.21,663.54,679.94,692.00,686.04,712.87,724.77,726.59,737.25,695.54,687.05,677.68,686.93,688.77,672.77,692.24,679.81,683.95,683.78,695.56
1733,695.52,697.13,689.74,679.51,662.12,680.49,693.29,686.41,712.18,724.47,725.33,737.63,696.53,687.38,676.61,686.64,688.40,671.21,695.29,679.21,683.43,682.65,695.52
1734,695.94,696.59,689.27,677.72,661.17,680.60,694.70,685.98,712.09,724.90,723.85,737.62,698.13,687.73,675.93,685.71,689.14,670.36,696.39,679.30,683.13,682.20,695.94
1735,696.37,695.10,689.98,675.92,660.84,679.54,694.17,685.66,711.46,726.80,723.45,736.86,698.51,688.52,675.18,684.66,690.10,672.22,697.21,678.98,682.81,681.48,696.37
1736,694.81,694.35,690.36,675.35,661.55,679.06,693.17,686.80,711.31,728.08,724.08,735.01,698.46,688.72,675.72,682.91,690.27,674.38,698.31,678.22,682.74,681.00,694.81
1737,693.03,694.39,690.75,674.62,662.60,679.56,692.04,689.49,711.52,725.88,724.75,732.53,698.72,687.38,677.86,682.38,690.58,674.57,699.56,676.81,683.07,681.43,693.03
1738,692.53,694.88,690.93,673.48,661.32,681.22,691.54,692.27,711.06,722.60,725.75,731.67,698.04,686.28,678.40,684.01,690.43,674.04,701.07,675.41,683.53,681.85,692.53
1739,692.94,695.94,690.54,672.65,659.20,682.73,693.62,694.54,712.57,724.50,727.04,735.71,696.44,685.25,677.50,686.13,690.44,673.52,700.63,675.29,683.96,682.37,692.94
1740,696.04,696.93,692.34,672.30,661.00,684.94,698.40,697.04,720.53,737.54,732.65,748.19,696.54,682.95,676.19,687.53,692.43,674.23,698.05,677.43,684.42,683.16,696.04
1741,700.70,697.78,698.94,673.19,667.49,689.52,704.19,699.13,734.78,758.33,746.41,767.91,697.78,680.27,673.44,687.56,695.01,676.97,695.91,680.55,684.17,683.74,700.70
1742,703.92,699.04,707.53,675.75,674.11,695.58,709.75,699.31,747.71,775.53,761.57,786.31,697.75,678.30,671.35,686.43,696.04,679.54,693.90,682.68,683.50,683.95,703.92
1743,704.31,700.99,711.84,678.21,678.66,700.65,715.11,699.68,754.84,785.71,772.18,797.90,696.04,676.71,670.22,685.05,695.33,681.04,693.33,684.05,683.42,684.93,704.31
1744,703.80,703.00,712.71,679.37,681.75,703.19,719.63,700.97,759.01,791.09,779.89,804.67,693.76,675.33,668.85,683.77,694.23,682.57,693.94,686.35,683.01,684.91,703.80
1745,704.13,704.84,714.26,679.95,683.84,704.46,722.70,702.59,763.05,795.58,784.70,808.61,692.38,674.46,668.38,682.43,694.01,684.43,693.40,688.76,682.21,684.20,704.13
1746,703.84,706.70,715.67,680.72,684.60,705.60,722.70,704.47,766.84,801.70,787.65,812.40,692.31,673.63,669.86,680.86,695.80,685.15,693.24,689.39,682.48,684.33,703.84
1747,703.91,707.03,715.59,681.07,686.17,706.44,721.85,704.38,768.86,807.77,789.92,816.73,693.01,674.03,670.80,680.28,698.13,683.38,694.53,688.28,684.18,684.88,703.91
1748,703.72,706.53,715.69,680.28,687.30,706.88,722.71,702.44,770.57,810.93,790.95,819.03,693.68,675.70,670.05,682.02,699.32,680.90,694.38,687.24,685.67,685.61,703.72
1749,702.99,706.67,716.02,679.66,686.90,707.20,722.86,701.19,772.01,811.10,791.85,820.61,693.71,677.47,669.34,684.00,699.27,681.24,691.88,687.62,685.85,686.12,702.99
1750,703.14,706.00,716.03,679.58,685.54,707.48,721.98,701.80,770.36,809.94,791.93,821.18,692.19,676.56,668.68,684.88,698.84,683.19,692.11,688.79,685.24,685.82,703.14
1751,702.77,704.35,716.78,679.43,684.75,706.74,720.89,702.26,766.23,809.03,790.96,818.92,690.78,674.72,667.95,683.96,699.62,684.10,693.11,688.85,684.66,684.91,702.77
1752,701.65,704.23,716.61,679.35,684.33,705.07,720.37,700.64,762.90,808.88,789.28,816.01,690.93,674.33,668.46,682.48,700.63,684.34,691.60,688.70,683.57,684.15,701.65
1753,700.30,705.14,715.05,679.12,683.12,703.70,720.61,697.86,760.42,807.32,785.81,814.40,691.43,675.23,668.87,682.37,699.67,684.94,690.68,689.50,682.50,683.62,700.30
1754,699.05,704.35,713.69,679.17,681.34,702.78,719.13,697.18,758.65,804.48,781.12,813.73,690.31,676.03,668.68,683.28,699.11,685.38,692.36,689.09,681.54,683.39,699.05
