 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7
106,434.797,434.800,434.185,441.789,440.226,438.133,439.562
107,434.626,435.158,434.199,442.168,441.093,438.817,439.572
108,434.513,435.283,434.129,442.570,442.157,439.416,439.483
109,434.476,435.125,433.952,442.876,443.037,439.629,439.349
110,434.577,434.824,433.877,442.935,443.538,439.551,439.213
111,434.851,434.592,434.068,442.975,443.662,439.431,439.132
112,435.215,434.532,434.385,443.177,443.524,439.334,439.185
113,435.457,434.503,434.633,443.488,443.343,439.291,439.450
114,435.409,434.404,434.605,443.601,443.238,439.465,439.591
115,435.228,434.223,434.438,443.382,443.181,439.817,439.427
116,435.061,434.229,434.194,443.058,443.033,440.161,439.040
117,434.877,434.458,433.931,442.935,442.916,440.263,438.679
118,434.500,434.631,433.881,443.231,442.871,440.105,438.506
119,434.003,434.397,434.089,443.733,442.936,439.815,438.444
120,433.601,433.763,434.491,443.926,442.965,439.567,438.500
121,433.553,433.266,434.860,443.478,442.771,439.450,438.551
122,433.736,433.185,434.984,442.788,442.321,439.281,438.608
123,434.014,433.535,434.848,442.336,441.900,439.112,438.545
124,434.093,433.913,434.735,442.431,441.654,438.993,438.388
125,434.153,433.958,434.888,442.927,441.565,438.974,438.194
126,434.308,433.751,435.293,443.396,441.573,439.096,438.054
127,434.651,433.582,435.714,443.522,441.675,439.335,437.969
128,434.978,433.745,435.946,443.299,441.878,439.555,438.069
129,435.075,434.169,435.836,442.912,442.137,439.635,438.371
130,435.061,434.604,435.474,442.425,442.203,439.718,438.660
131,435.109,434.803,434.935,441.858,441.940,439.909,438.558
132,435.069,434.959,434.298,441.543,441.490,440.212,438.112
133,434.822,435.185,433.773,441.631,441.112,440.340,437.861
134,434.341,435.424,433.532,441.807,440.972,440.102,438.116
135,433.954,435.537,433.724,441.848,440.918,439.503,438.755
136,433.948,435.439,434.158,441.932,440.839,438.653,439.248
137,434.130,435.339,434.514,442.073,440.784,437.963,439.374
138,434.218,435.333,434.569,442.177,440.931,437.806,439.290
139,434.267,435.244,434.446,442.303,441.204,438.076,439.226
140,434.538,435.223,434.383,442.517,441.587,438.336,439.322
141,434.872,435.434,434.461,442.748,441.913,438.305,439.510
142,434.992,435.869,434.598,442.847,442.086,438.162,439.798
143,434.676,436.103,434.683,442.865,442.068,438.005,439.900
144,434.111,435.804,434.648,442.612,441.919,437.789,439.794
